awards|imdbid|oscars
Nominated for 1 Oscar. Another 7 wins & 3 nominations.|0373175|nom
Nominated for 1 Oscar. Another 15 wins & 21 nominations.|0311648|nom
2 nominations.|0335013|none
N/A|0337996|none
Nominated for 1 Golden Globe. Another 11 wins & 27 nominations.|0323944|none
1 nomination.|0380732|none
1 nomination.|0380585|none
32 wins & 39 nominations.|0347304|none
1 win.|0367960|none
N/A|0349159|none
2 nominations.|0266747|none
6 nominations.|0342167|none
Nominated for 1 Golden Globe. Another 3 wins & 13 nominations.|0312549|none
3 wins & 3 nominations.|0322659|none
Nominated for 2 Oscars. Another 16 wins & 48 nominations.|0298148|nom
Won 1 Oscar. Another 23 wins & 54 nominations.|0316654|won
Nominated for 3 Oscars. Another 24 wins & 20 nominations.|0335345|nom
2 wins & 6 nominations.|0290002|none
Won 2 Oscars. Another 59 wins & 53 nominations.|0317705|won
Nominated for 2 Oscars. Another 14 wins & 42 nominations.|0304141|nom
Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.|0319262|none
5 wins & 21 nominations.|0372183|none
1 win & 9 nominations.|0368891|none
Nominated for 3 Oscars. Another 5 wins & 21 nominations.|0338348|nom
Nominated for 1 Oscar. Another 3 wins & 15 nominations.|0307453|nom
